IncidentNumber,DateOfCall,CalYear,HourOfCall,IncGeo_BoroughName,Easting_rounded,Northing_rounded,AttendanceTime,DeployedFromStation,lat_cal,long_cal,lat_cal_r,long_cal_r,stat,lat,long,bor_sqkm,pop_per_stat,distance_stat,distance,AttendanceTimeClasses3
017462-04022023,2023-02-04,2023,15,BARKING AND DAGENHAM,547550,187350,323.0,Ilford,51.565423243061616,0.12779740136187542,51.56572707369328,0.1274075709678241,Ilford,51.562624,0.091493,56.41,103279.0,16375.923909334317,2538.9348572829344,3-6min
169881-31102023,2023-10-31,2023,7,HOUNSLOW,512650,177550,463.0,Heston,inf,inf,51.48569166911536,-0.3789978694733398,Heston,51.47492,-0.3431,55.99,95980.0,15360.683212352244,2766.8525092516315,6-9min
190587-04122023,2023-12-04,2023,17,RICHMOND UPON THAMES,517950,172850,250.0,Kingston,inf,inf,51.442370639232536,-0.30426855049257717,Kingston,51.4293729,-0.3091976,37.25,55948.0,15278.913526276205,1486.1499579264816,3-6min
155622-07102023,2023-10-07,2023,9,BROMLEY,545550,167850,318.0,Orpington,51.39102636611126,0.091220585407333,51.391029427359896,0.09054514621657253,Orpington,51.37216313,0.11087098,150.15,82458.0,22327.869024727424,2504.3905167487264,3-6min
053789-18042023,2023-04-18,2023,13,SOUTHWARK,532150,179550,346.0,Lambeth,inf,inf,51.49944873964003,-0.09756340457986269,Lambeth,51.4634153,-0.1215096,26.82,63500.0,4890.8718638849405,4340.422685990276,3-6min
151242-29092023,2023-09-29,2023,18,RICHMOND UPON THAMES,520150,175050,410.0,Richmond,inf,inf,51.46168108398124,-0.271882781118924,Richmond,51.4674124,-0.2849489,57.41,97616.0,11771.22733156341,1109.5499486485253,6-9min
061224-02052023,2023-05-02,2023,20,ENFIELD,535450,195050,381.0,Edmonton,inf,inf,51.637953383044604,-0.04408191724431482,Edmonton,51.62735,-0.06927,80.84,109867.0,13967.778520302169,2105.536177193527,6-9min
147831-23092023,2023-09-23,2023,19,REDBRIDGE,541450,192250,642.0,Woodford,51.61145889075865,0.04110720930749921,51.61131833417069,0.04143310320567615,Woodford,51.60883,0.026243,56.41,103279.0,15535.957097521175,1073.1739557735941,9-12min
044008-30032023,2023-03-30,2023,3,WANDSWORTH,527150,172550,435.0,Tooting,51.437358211345376,-0.1723871784159489,51.43768602119157,-0.1720719424825521,Tooting,51.4380528,-0.1654001,34.26,109456.0,8131.550209914634,489.6614445835333,6-9min
040152-21032023,2023-03-21,2023,20,EALING,511950,183150,550.0,Northolt,inf,inf,51.53616268967534,-0.38729874368796213,Northolt,51.55491,-0.35947,55.53,91532.0,16923.24105510712,2842.0871138661223,9-12min
184830-25112023,2023-11-25,2023,7,MERTON,526150,169250,296.0,Wimbledon,inf,inf,51.40825201560403,-0.18762490275648094,Wimbledon,51.4155428,-0.1975317,37.61,107662.0,11296.133801844093,1064.4402940190555,3-6min
127802-23082023,2023-08-23,2023,2,MERTON,528050,168450,360.0,Norbury,inf,inf,51.40063700985872,-0.16061052830297293,Norbury,51.40681223,-0.1212487,86.52,78101.0,11181.546872069295,2823.909364032002,3-6min
099301-04072023,2023-07-04,2023,23,BRENT,522150,184550,141.0,Willesden,51.5469085524504,-0.24027214453683984,51.54663201902441,-0.2398212965304156,Willesden,51.54468,-0.23663,43.24,112973.0,8634.041435717692,352.9514017310737,0-3min
155822-07102023,2023-10-07,2023,16,HARINGEY,530950,189650,99.0,Hornsey,inf,inf,51.590491543917544,-0.1110860121918288,Hornsey,51.58665,-0.12698,29.59,132065.0,8842.858362850997,1181.5589866399903,0-3min
206003-31122023,2023-12-31,2023,22,TOWER HAMLETS,537050,182550,389.0,Bethnal Green,inf,inf,51.525241367268244,-0.0258502552623421,Bethnal Green,51.52791,-0.052074,19.77,62455.0,5710.62499623298,1843.9911378187703,6-9min
148514-25092023,2023-09-25,2023,3,ISLINGTON,532650,185150,364.0,Islington,inf,inf,51.54965570210005,-0.08825780008536599,Islington,51.539912,-0.102337,14.86,108384.0,4036.576352007245,1459.1676975590528,6-9min
130067-26082023,2023-08-26,2023,16,ENFIELD,534050,197950,765.0,Southgate,51.66441699695129,-0.06354808594452213,51.6643481368764,-0.06318951930691488,Southgate,51.6306,-0.12754,80.84,109867.0,13734.420279492835,5814.130947226072,12-15min
151963-30092023,2023-09-30,2023,20,HARINGEY,533650,191150,398.0,Tottenham,inf,inf,51.60333747738487,-0.0715631708632753,Tottenham,51.59264,-0.07164,29.59,132065.0,10266.571281623115,1190.2100549785503,6-9min
057087-25042023,2023-04-25,2023,10,TOWER HAMLETS,534650,182250,270.0,Bethnal Green,51.52326362293613,-0.059840780633153116,51.52312229156685,-0.06053872267886228,Bethnal Green,51.52791,-0.052074,19.77,62455.0,5710.62499623298,744.3342769702757,3-6min
